Molecule_ID,Composition
0,H3
1,H3
2,H
3,H
4,H
5,H
6,H
7,n
8,H
9,nLi
10,HHe
11,nHe
12,HHe
13,HHe
14,nHe
15,HHe
16,H2
17,nHe
18,n
19,n
20,n
21,H
22,HHe
23,HHe
24,H2
25,H2
26,H
27,HHe
28,HLi
29,HHe
30,nHe
31,nHe
32,HHe
33,HHe
34,H2
35,HHe
36,H2
37,H2
38,HLi
39,n2
40,HHe
41,nHe
42,H2
43,HHe
44,H2
45,nHe
46,HHe
47,H2
48,nHe
49,nHe
50,HHe
51,HHe
52,n
53,nHe
54,H2
55,nH
56,HHe
57,HHe
58,nH
59,H2
60,H2
61,H2
62,HHe
63,HLi
64,HHe
65,HHe
66,HHe
67,HLi
68,H
69,HHe
70,HHe
71,HHe
72,HHe
73,HHe
74,HHe
75,nHe
76,nHe
77,HHe
78,HHe
79,HHe
80,HHe
81,nH
82,HHe
83,HHe
84,HHe
85,HHe
86,HHe
87,H2
88,HHe
89,HLi
90,HHe
91,nHe
92,H2
93,HHe
94,HHe
95,nLi
96,HHe
97,HHe
98,HHe
99,H
100,HHe
101,nHe
102,HHe
103,H2
104,nLi
105,HHe
106,HHe
107,HHe
108,HHe
109,nHe
110,H2
111,HHe
112,nHe
113,HHe
114,HHe
115,nHe
116,HHe
117,nHe
118,HHe
119,HHe
120,HHe
121,HLi
122,HHe
123,nHe
124,nHe
125,HHe
126,HHe
127,HHe
128,HHe
129,HHe
130,HHe
131,HLi
132,nHe
133,HHe
134,nHe
135,HHe
136,HLi
137,HHe
138,HHe
139,nHe
140,HLi
141,HHe
142,HHe
143,HHe
144,HHe
145,HHe
146,HHe
147,HHe
148,HHe
149,HHe
150,H2
151,HHe
152,nHe
153,HHe
154,HHe
155,HHe
156,HHe
157,HHe
158,HHe
159,HHe
160,HHe
161,nHe
162,nHe
163,HHe
164,HHe
165,HLi
166,HHe
167,HHe
168,HHe
169,HHe
170,H2
171,HHe
172,HHe
173,nHe
174,HHe
175,HHe
176,HHe
177,HHe
178,HHe
179,HHe
180,HHe
181,HHe
182,HHe
183,HHe
184,HHe
185,nHe
186,HHe
187,HHe
188,HHe
189,HLi
190,HHe
191,HLi
192,nLi
193,HHe
194,HHe
195,HHe
196,HHe
197,HHe
198,HLi
199,nHe
200,HLi
201,HHe
202,HHe
203,HHe
204,HHe
205,nHe
206,HHe
207,HHe
208,HLi
209,nHe
210,HHe
211,HLi
212,nHe
213,HHe
214,HHe
215,HHe
216,HLi
217,HHe
218,HHe
219,HHe
220,HHe
221,HLi
222,HHe
223,HLi
224,HHe
225,HHe
226,HHe
227,HHe
228,HHe
229,HHe
230,HHe
231,HLi
232,HHe
233,nHe
234,nLi
235,HLi
236,HLi
237,nHe
238,HHe
239,HHe
240,HLi
241,HHe
242,nLi
243,nHe
244,HHe
245,HHe
246,H2
247,nHe
248,HHe
249,HHe
250,HHe
251,HHe
252,HHe
253,HHe
254,nHe
255,HHe
256,HHe
257,HHe
258,HHe
259,nHe
260,HHe
261,HHe
262,nHe
263,HHe
264,HHe
265,n2
266,HHe
267,nHe
268,HHe
269,HHe
270,HHe
271,HHe
272,HHe
273,HHe
274,H2
275,HHe
276,HLi
277,HLi
278,HHe
279,HHe
280,HLi
281,HHe
282,HHe
283,HHe
284,HHe
285,HHe
286,nHe
287,H
288,HHe
289,HLi
290,nHe
291,HLi
292,nHe
293,H2
294,HHe
295,HLi
296,HHe
297,HHe
298,nLi
299,nHe
300,HLi
301,nHe
302,HHe
303,HHe
304,HLi
305,HHe
306,HLi
307,nHe
308,nHe
309,HHe
310,HHe
311,H2
312,HHe
313,HLi
314,HHe
315,H2
316,nHe
317,HHe
318,HHe
319,HHe
320,HHe
321,HHe
322,HHe
323,HHe
324,HHe
325,nLi
326,HHe
327,HHe
328,H2
329,HHe
330,HHe
331,HHe2
332,HLi
333,HHe
334,HLi
335,nHe2
336,HHe
337,HHe
338,HHe
339,HHe
340,HLi
341,nHe2
342,HHe
343,HLi
344,nHe
345,HLi
346,nLi2
347,nHe2
348,HHe2
349,HLi
350,HHe2
351,nHe2
352,HHe2
353,HHe
354,HLi
355,HHe2
356,HHe
357,HHe2
358,HHe2
359,nHe2
360,HHe2
361,HHe2
362,HHe
363,nHe2
364,HLi
365,HLi
366,HLi
367,HHe2
368,HHe2
369,HLi
370,HHe2
371,HHe
372,HHe2
373,HHe2
374,HHe
375,HHe2
376,HHe2
377,HHe
378,nHe2
379,HHe2
380,HHe2
381,HHe2
382,HHe2
383,HHe
384,HHe2
385,n2H
386,HHe2
387,HHe2
388,HHe2
389,nHe2
390,H
391,HHe2
392,HHe2
393,H3
394,HHe2
395,HHe2
396,HHe2
397,HHe2
398,HHe2
399,HHe2
400,HHe2
401,HHe2
402,HLi2
403,nHe2
404,nHe
405,HHe2
406,HHe2
407,HHe2
408,nHe2
409,nHe2
410,HHe2
411,nHe2
412,HHe2
413,HHe2
414,HHe2
415,HHe2
416,HHe2
417,HHe2
418,HHe2
419,HHe2
420,HHe2
421,HHe2
422,HHe2
423,HHe2
424,HHe2
425,HHe2
426,HHe2
427,HHe2
428,H
429,HHe2
430,nLi2
431,HHe2
432,HHe2
433,HHe2
434,HHe2
435,HHe2
436,HHe2
437,nHe2
438,HLi2
439,HLi2
440,HHe2
441,nHe2
442,n2Li
443,HHeLi
444,HHe2
445,HHe2
446,HHe2
447,nHe2
448,HHe2
449,nHe2
450,HLi2
451,HHe2
452,nHe2
453,n3
454,HHe2
455,nHe2
456,HHe2
457,H3
458,nHe2
459,nHe2
460,HLi2
461,HHe2
462,H3
463,HHeLi
464,nLi2
465,HHe2
466,HHe2
467,H2He
468,HHe2
469,HHe2
470,HLi2
471,H2Li
472,HHe2
473,nLi2
474,HLi2
475,HHe2
476,HHe2
477,HHe2
478,HHe2
479,HHe2
480,HHe2
481,HLi2
482,HHe2
483,HLi2
484,HHe2
485,HHe2
486,nHe2
487,nLi2
488,HHe2
489,HHe2
490,HHe3
491,HLi2
492,HHe2
493,nHe3
494,HHe2
495,nHe2
496,HLi2
497,HHe3
498,HHe3
499,HHe2
500,HHe2
501,HHe3
502,HHe2
503,HHe2
504,H
505,nHe2
506,HHe2
507,HHe2
508,H3
509,HHe3
510,nHe2
511,HHe3
512,H3He
513,nHe2
514,HHe2
515,HHe3
516,HHe3
517,nHe3
518,HHe2
519,HHe3
520,HHe2
521,HLi2
522,HHe3
523,HLi2
524,HHe2
525,HHe2
526,nHe2
527,HHe2
528,HHe2
529,HHe3
530,HHeLi2
531,HHe2
532,HHe2
533,HHe2
534,HHe2
535,HHe2
536,H2Li
537,H3
538,HHe2
539,HHe2
540,nHe2
541,nLi2
542,nBe2
543,HHe2
544,HHe2
545,HLi2
546,HLi2
547,nHe2
548,HLi2
549,nHe2
550,HHe2
551,HLi2
552,HHe2
553,HHe2
554,HHe2
555,HHe2
556,H2He2
557,HHeLi2
558,H2He2
559,HHeLi2
560,HHeLi2
561,HHeLi2
562,HHe3
563,H2Li2
564,H2Li2
565,HHeLi2
566,n2HeLi
567,n2HeLi
568,H2Li2
569,n2Li2
570,nHeLi2
571,HHe3
572,HHe3
573,H2He2
574,H4
575,HHe3
576,n2He2
577,H2He2
578,H2He2
579,HHe3
580,H2Li2
581,H4
582,nHe3
583,HHe3
584,H2Li2
585,H2Li2
586,H2He2
587,H2Li2
588,H4
589,HHe3
590,HHe3
591,H2He2
592,H2He2
593,H3He
594,HHe3
595,HHe3
596,nHLi2
597,HLi2
598,HHe3
599,HHe3
600,HHe3
601,HHe3
602,HHe3
603,H2Li
604,H2Li2
605,HHe3
606,H2He2
607,H4
608,H3He
609,HHe3
610,nHe3
611,HHe3
612,HHe3
613,HHe3
614,HHe3
615,nHe3
616,H2He2
617,HHe3
618,HHe3
619,nHe3
620,HHe3
621,HHe3
622,nHe3
623,HHe3
624,nHe3
625,HHe3
626,HHe3
627,HHe3
628,HHe3
629,HHe
630,H2Li2
631,H2He2
632,HHe3
633,HHe3
634,HHe3
635,nHe3
636,HHe3
637,HHe3
638,HHe3
639,HHe3
640,HHe2
641,HHe2
642,nHe2
643,H2Li
644,H2He2
645,H2Li2
646,H2Li2
647,HHe3
648,H2Li2
649,nHLi2
650,H2Li2
651,H2He2
652,H2He2
653,HHe3
654,H2He2
655,HHe3
656,HHe3
657,H2He2
658,H2He2
659,HHe3
660,HHe3
661,H2He2
662,HHe3
663,H2He2
664,HHeLi2
665,HHeLi2
666,HHe3
667,H2Li2
668,HHeLi2
669,HHe3
670,H3He
671,H3He
672,HHe3
673,HHe3
674,H2He2
675,H2He2
676,H2Li2
677,H2He2
678,nHe3
679,H2He2
680,HHe3
681,HHe3
682,HHe3
683,H2Li2
684,HHe3
685,nHe3
686,H2He2
687,HHe3
688,H2Li2
689,HHe3
690,HHeLi2
691,HHe3
692,nHe3
693,HHe3
694,H2He2
695,HHe3
696,nHe3
697,HHeLi2
698,H2He2
699,H2He2
700,H2Li2
701,HHe3
702,HHe3
703,HHeLi2
704,HHe3
705,HHe3
706,HHeLi2
707,HHeLi2
708,nHeLi2
709,n2He2
710,nHe3
711,HHeLi2
712,HHeLi2
713,HHeLi2
714,HHeLi2
715,HHeLi2
716,HHeLi2
717,H2He2
718,H3He
719,H2He2
720,HHe3
721,HHeLi2
722,H3He
723,nHeLi2
724,HHeLi2
725,HHe3
726,nHe3
727,HHe3
728,H2Li2
729,H2Li2
730,HHe3
731,HHe3
732,H2Li2
733,H2Li2
734,n2He2
735,HHe3
736,nHLi2
737,HHe3
738,H2Li2
739,HHe3
740,nHe3
741,H2Li2
742,HHe3
743,H4
744,H3He
745,HHeLi2
746,H4
747,H2Li2
748,H2He2
749,HHe3
750,HBe3
751,H2He2
752,H2Li2
753,H2He2
754,H2He2
755,HHeLi2
756,HHeLi2
757,HHe3
758,nHeLi2
759,HHe3
760,nHe3
761,H2He2
762,H2He2
763,n2He2
764,H4
765,H4
766,HHe3
767,HHe3
768,HHe3
769,HHe3
770,HHe3
771,n3He
772,HHe3
773,HHe3
774,nHe3
775,HHe3
776,HHe3
777,HHe3
778,HHe3
779,HHe3
780,HHe3
781,HHe3
782,H3He
783,HHe3
784,nHe3
785,HHe3
786,HHe3
787,HHe3
788,HHe3
789,H3He
790,H3He
791,nHe3
792,nHe3
793,HHe3
794,HHe3
795,HHe3
796,nHe3
797,HHe3
798,H3He
799,HHe3
800,HHe3
801,HHe3
802,HHe3
803,nHLi2
804,HHe3
805,HHe3
806,HHe3
807,nHe3
808,HHe3
809,HHe3
810,HHe3
811,HHe3
